unix,open,high,low,close,Volume USD
1526835600,8481.11,8531.9,8471.51,8516.36,222.45
1526839200,8516.36,8551.79,8511,8524,113.8
1526842800,8524,8529.9,8476.66,8517.04,84.2
1526846400,8517.04,8590,8507.68,8558.5,261.44
1526850000,8558.5,8576.1,8509.24,8521.99,168.78
1526853600,8521.99,8549.89,8482.53,8484.93,111.07
1526857200,8484.93,8531.89,8484.93,8518.48,122.12
1526860800,8518.48,8550,8450,8488.99,267.32
1526864400,8488.99,8493.29,8434.47,8466.72,210.39
1526868000,8466.72,8522.98,8461.1,8492.55,211.36
1526871600,8492.55,8517,8481,8494.28,146.22
1526875200,8494.28,8537.29,8480,8510.95,93.39
1526878800,8510.95,8524.51,8488.1,8498.64,89.04
1526882400,8498.64,8589.1,8471.09,8551.1,307.59
1526886000,8551.1,8589.07,8509.2,8524.22,307.2
1526889600,8524.22,8536.92,8482.64,8510.11,164.24
1526893200,8510.11,8524.03,8469,8475.62,151.21
1526896800,8475.62,8497.8,8440.4,8476.58,399.77
1526900400,8476.58,8498,8440.52,8467.13,362.01
1526904000,8467.13,8513.5,8461.8,8499.84,260.85
1526907600,8499.84,8510,8480,8490.42,232.32
1526911200,8490.42,8494.7,8358.17,8407.09,1109.45
1526914800,8407.09,8427.29,8380.73,8409.42,348.5
1526918400,8409.42,8419.03,8370,8400.96,210.57
1526922000,8400.96,8415.47,8383.12,8383.14,274.92
1526925600,8383.14,8389.99,8320,8350,277.83
1526929200,8350,8397.57,8349.17,8373.01,99.57
1526932800,8373.01,8455,8357.11,8412.8,273.12
1526936400,8412.8,8429.66,8370.58,8385.57,129.47
1526940000,8385.57,8412.61,8367.21,8408.53,113.05
1526943600,8408.53,8424,8376.99,8391.76,87.6
1526947200,8391.76,8417.65,8335.6,8367.36,159.37
1526950800,8367.36,8369.7,8252.72,8280.24,433.28
1526954400,8280.24,8326.5,8264.49,8297.91,133.29
1526958000,8297.91,8336.65,8282.59,8333.99,200.57
1526961600,8333.99,8333.99,8271.09,8285.29,210.33
1526965200,8285.29,8314.32,8261.52,8280,206.4
1526968800,8280,8355.97,8280,8317.02,357.53
1526972400,8317.02,8333.49,8297,8320.16,107.43
1526976000,8320.16,8325.6,8290,8295.9,116.54
1526979600,8295.9,8296.01,8220,8245.47,479.07
1526983200,8245.47,8264.98,8230.45,8264.98,290.38
1526986800,8264.98,8271.31,8180,8200,812.96
1526990400,8200,8200,8119.38,8170,1542.87
1526994000,8170,8232.14,8170,8217,430.36
1526997600,8217,8246,8189.84,8231.63,312.54
1527001200,8231.63,8248.94,8210.76,8232.8,132.75
1527004800,8232.8,8259.95,8212.68,8225.38,333.64
1527008400,8225.38,8242.49,8200,8200.01,205.86
1527012000,8200.01,8232.04,8186,8219.98,120.33
1527015600,8219.98,8230.9,8161.77,8187.98,263.1
1527019200,8187.98,8205,8063.15,8100.32,457.64
1527022800,8100.32,8118.98,8050.01,8076.99,451.55
1527026400,8076.99,8103.07,7951.41,7964.73,962.22
1527030000,7964.73,8040.95,7964.73,7984.08,381.04
1527033600,7984.08,8032.01,7949.35,7949.35,386.95
1527037200,7949.35,7960.25,7861.32,7900.61,905.87
1527040800,7900.61,7920,7865,7895.5,453.48
1527044400,7895.5,7960,7886.48,7960,542.31
1527048000,7960,7960,7870.35,7900,476.48
1527051600,7900,7935,7885.2,7921.99,341.79
1527055200,7921.99,7960.99,7896.41,7943.07,654.23
1527058800,7943.07,7951.38,7811.62,7856.37,769.1
1527062400,7856.37,7888.92,7808.05,7848.3,719.94
1527066000,7848.3,7870,7808,7852.68,523.05
1527069600,7852.68,7909.75,7836.79,7847.1,409.37
1527073200,7847.1,7882.27,7801.02,7849.31,255.12
1527076800,7849.31,7949.27,7847.36,7911.83,551.86
1527080400,7911.83,7944.73,7883,7901.01,340.62
1527084000,7901.01,7916.48,7850.72,7887,488.69
1527087600,7887,7906,7676.27,7710.02,1120.73
1527091200,7710.02,7719.37,7553.6,7625.38,1946.82
1527094800,7625.38,7637.06,7435.49,7516.28,1809.02
1527098400,7516.28,7563.5,7450.1,7495.31,1667.13
1527102000,7495.31,7635.13,7495.31,7590.34,979.6
